Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
59:52.1	1300	1293.912109	100	98.627842	0.077773	0.056652	15.843664	0.102476	227.176421	1059.027575	4.050617	979.984774	2.976597	18.184572	2.8428	2.853317	2801.451476	-11.876975	0	212.889243	1.019565	27.562259	28.645522	0.01656	43.431772
59:52.2	1300	1299.714111	100	97.242485	0.073101	0.071656	15.925577	0.238359	227.407174	1059.10157	4.020984	1035.611048	2.908954	18.625656	2.857522	2.858469	2835.500929	-11.889154	0	212.782773	1.019297	29.916538	27.971306	0.016605	43.276723
59:52.3	1300	1292.950195	100	100.0132	0.070346	0.09494	16.062881	0.155353	227.645386	1059.169377	4.016243	1085.056626	2.757545	19.642009	2.84622	2.837861	2950.24819	-11.866825	0	212.854466	1.020101	28.728129	28.424609	0.01656	43.407778
59:52.4	1300	1311.303467	100	100.0132	0.074119	0.060506	15.961321	-0.059437	227.917596	1059.230824	4.039742	1095.357788	2.84838	19.03627	2.851162	2.858469	2985.775056	-11.868855	0	213.102421	1.019833	29.226032	28.344277	0.016424	43.386232
59:52.5	1300	1306.8479	100	101.398558	0.076724	0.076247	15.98389	0.131784	228.05256	1059.286617	4.064526	1058.273605	2.96954	18.195974	2.862158	2.837861	3045.846623	-11.707478	0	213.048585	1.019565	27.677002	28.857828	0.01656	43.336583
59:52.6	1300	1305.610962	100	102.783916	0.077152	0.073788	15.813836	0.157608	228.249954	1059.340068	4.072225	996.466633	2.887131	18.708507	2.844792	2.858469	2955.304632	-11.888139	0	213.038219	1.020101	29.754669	27.55817	0.01656	43.338931
59:52.7	1300	1285.925537	100	100.0132	0.069787	0.046158	16.009913	-0.057182	228.408815	1059.399427	4.055107	951.14152	2.992826	17.961112	2.855917	2.843013	2864.736379	-11.870885	0	213.249626	1.020101	30.734082	27.916795	0.01656	43.308223
59:52.8	1300	1312.895874	100	100.0132	0.076089	0.051077	16.043054	0.120921	228.523077	1059.464479	4.021472	998.526865	2.930173	18.363047	2.85171	2.858469	2921.977521	-11.887124	0	213.341231	1.019833	28.601092	28.694295	0.016514	43.170213
59:52.9	1300	1306.677246	100	100.0132	0.073104	0.086496	15.770817	0.162937	228.634818	1059.529234	3.991636	1043.851978	2.779607	19.403145	2.838168	2.853317	2965.081522	-11.885094	0	213.149639	1.019297	29.648122	30.610789	0.016514	43.24115
59:53.0	1300	1307.104126	100	98.627842	0.080529	0.051979	16.04657	-0.005739	228.750647	1059.593688	4.008236	1099.478253	2.816754	19.168403	2.834566	2.858469	2902.275964	-11.868855	0	213.295529	1.018762	30.531233	29.336951	0.016514	43.25962
59:53.1	1300	1296.050293	100	101.398558	0.070116	0.058866	16.057467	0.110674	228.725905	1059.655535	4.027665	1128.321506	2.995949	17.925963	2.856937	2.858469	2917.134523	-11.866825	0	213.477038	1.019297	30.73818	29.40007	0.01656	43.202204
59:53.2	1300	1306.591675	100	102.783916	0.071755	0.082478	15.903032	0.179743	228.794166	1059.708197	4.05645	1144.803366	2.975038	18.033522	2.838716	2.843013	2883.869713	-11.885094	0	213.291675	1.019565	30.398049	29.245143	0.01656	43.278311
59:53.3	1300	1299.460693	100	100.0132	0.070417	0.070754	16.03271	0.109854	228.638695	1059.745633	4.075368	1091.237323	2.842043	18.9207	2.841536	2.853317	2909.321529	-11.86987	0	213.453701	1.019565	30.744327	29.236536	0.01656	43.327524
59:53.4	1300	1287.581299	100	98.627842	0.073849	0.062309	15.859649	0.291647	228.641095	1059.765699	4.089999	996.466633	2.884537	18.632668	2.851505	2.837861	3053.201577	-11.876975	0	213.41781	1.019297	29.541575	30.630872	0.016514	43.124814
59:53.5	1300	1303.780884	100	100.0132	0.073451	0.078297	15.716434	0.049188	228.353681	1059.772341	4.068067	955.261985	2.932985	18.314661	2.846088	2.858469	2885.453988	-11.868855	0	213.386674	1.019297	30.779159	27.799166	0.016514	43.117072
59:53.6	1300	1315.919312	100	100.0132	0.073905	0.082232	16.023657	0.128095	228.385744	1059.772791	4.019355	984.105238	2.802332	19.186566	2.841043	2.837861	2718.531448	-11.891184	0	213.542387	1.019833	29.703444	27.836463	0.01656	43.168066
59:53.7	1300	1298.237549	100	100.0132	0.070318	0.041075	15.985925	0.236105	228.375498	1059.770059	3.991761	1035.611048	3.079578	17.243768	2.85068	2.863622	2851.096282	-11.882049	0	213.528146	1.020101	30.221836	27.982782	0.016514	43.124657
59:53.8	1300	1299.376343	100	100.0132	0.071486	0.061899	16.014927	-0.111495	228.234981	1059.758641	3.998607	1093.297556	2.960984	18.01139	2.852852	2.843013	2817.602757	-11.86987	0	213.557809	1.020101	28.74657	29.302523	0.01656	43.296104
59:53.9	1300	1285.140503	100	100.0132	0.071355	0.086988	15.877443	0.092023	228.078208	1059.733598	4.020215	1130.381739	2.785556	19.205841	2.831524	2.858469	2774.149376	-11.877989	0	213.624305	1.019565	27.611434	29.6009	0.016514	43.124486
59:54.0	1300	1289.823242	100	100.0132	0.075848	0.060752	16.050372	0.139367	228.203679	1059.697442	4.049475	1175.706852	2.982757	17.869091	2.837847	2.853317	2802.339002	-11.8719	0	213.487593	1.020369	28.896146	27.982782	0.016605	42.954794
59:54.1	1300	1308.001709	100	97.242485	0.076176	0.061325	15.969417	-0.054928	228.22763	1059.65621	4.072341	1120.080577	2.907118	18.380127	2.850097	2.853317	3070.995808	-11.876975	0	213.553209	1.019833	28.234325	28.18935	0.01656	43.213123
59:54.2	1300	1312.637329	100	101.398558	0.072793	0.081822	15.905661	0.130144	228.398058	1059.613793	4.102809	1052.092908	2.940935	18.137586	2.838619	2.858469	2899.608244	-11.86581	0	213.816595	1.019565	30.510743	27.497921	0.01656	43.161556
59:54.3	1300	1297.984863	100	100.0132	0.079337	0.065917	15.916419	0.133014	228.399049	1059.575446	4.082374	1008.828027	3.042539	17.448055	2.834382	2.843013	2848.110809	-11.872915	0	213.506776	1.019833	29.41044	30.065678	0.01656	43.099915
59:54.4	1300	1276.935303	100	100.0132	0.072748	0.069278	15.968833	0.034431	228.479333	1059.544154	4.050606	1039.731513	2.897015	18.415344	2.847552	2.863622	2953.339695	-11.886109	0	213.658245	1.019833	29.785403	30.587837	0.016469	43.117274
